dates,year,month,day,dayofweek,is_weekend,predicted_tickets
2022-12-10,2022,12,10,5,1,4886.43
2022-12-11,2022,12,11,6,1,4150.138
2022-12-12,2022,12,12,0,0,2459.264
2022-12-13,2022,12,13,1,0,2294.226
2022-12-14,2022,12,14,2,0,2396.532
2022-12-15,2022,12,15,3,0,3059.458
2022-12-16,2022,12,16,4,0,4320.864
2022-12-17,2022,12,17,5,1,5921.366
2022-12-18,2022,12,18,6,1,5866.884
2022-12-19,2022,12,19,0,0,4294.744
2022-12-20,2022,12,20,1,0,4192.28
2022-12-21,2022,12,21,2,0,3897.492
2022-12-22,2022,12,22,3,0,3485.186
2022-12-23,2022,12,23,4,0,4241.5
2022-12-24,2022,12,24,5,1,7982.938
2022-12-25,2022,12,25,6,1,10981.4
2022-12-26,2022,12,26,0,0,13584.554
2022-12-27,2022,12,27,1,0,14962.596
2022-12-28,2022,12,28,2,0,15132.002
2022-12-29,2022,12,29,3,0,15077.036
2022-12-30,2022,12,30,4,0,12784.938
2022-12-31,2022,12,31,5,1,11979.81
2023-01-01,2023,1,1,6,1,11745.978
2023-01-02,2023,1,2,0,0,16470.02
2023-01-03,2023,1,3,1,0,17264.872
2023-01-04,2023,1,4,2,0,14641.088
2023-01-05,2023,1,5,3,0,14520.81
2023-01-06,2023,1,6,4,0,14102.902
2023-01-07,2023,1,7,5,1,6572.796
2023-01-08,2023,1,8,6,1,7859.584
2023-01-09,2023,1,9,0,0,8806.506
2023-01-10,2023,1,10,1,0,8530.536
2023-01-11,2023,1,11,2,0,7384.168
2023-01-12,2023,1,12,3,0,7269.506
2023-01-13,2023,1,13,4,0,6658.974
2023-01-14,2023,1,14,5,1,6009.498
2023-01-15,2023,1,15,6,1,9064.92
2023-01-16,2023,1,16,0,0,10288.18
2023-01-17,2023,1,17,1,0,9865.064
2023-01-18,2023,1,18,2,0,8750.68
2023-01-19,2023,1,19,3,0,9463.708
2023-01-20,2023,1,20,4,0,8973.126
2023-01-21,2023,1,21,5,1,7539.454
2023-01-22,2023,1,22,6,1,9880.054
2023-01-23,2023,1,23,0,0,11166.804
2023-01-24,2023,1,24,1,0,11175.324
2023-01-25,2023,1,25,2,0,10992.184
2023-01-26,2023,1,26,3,0,11334.418
2023-01-27,2023,1,27,4,0,9856.16
2023-01-28,2023,1,28,5,1,8525.052
2023-01-29,2023,1,29,6,1,11818.278
2023-01-30,2023,1,30,0,0,13599.144
2023-01-31,2023,1,31,1,0,12879.16
2023-02-01,2023,2,1,2,0,10710.866
2023-02-02,2023,2,2,3,0,11999.458
2023-02-03,2023,2,3,4,0,10687.226
2023-02-04,2023,2,4,5,1,7697.28
2023-02-05,2023,2,5,6,1,13017.774
2023-02-06,2023,2,6,0,0,13550.694
2023-02-07,2023,2,7,1,0,14106.33
2023-02-08,2023,2,8,2,0,11828.664
2023-02-09,2023,2,9,3,0,11840.022
2023-02-10,2023,2,10,4,0,11426.486
2023-02-11,2023,2,11,5,1,9791.962
2023-02-12,2023,2,12,6,1,15121.868
2023-02-13,2023,2,13,0,0,16879.838
2023-02-14,2023,2,14,1,0,17184.414
2023-02-15,2023,2,15,2,0,16976.796
2023-02-16,2023,2,16,3,0,16501.358
2023-02-17,2023,2,17,4,0,13707.95
2023-02-18,2023,2,18,5,1,10287.524
2023-02-19,2023,2,19,6,1,16272.984
2023-02-20,2023,2,20,0,0,17332.908
2023-02-21,2023,2,21,1,0,16810.598
2023-02-22,2023,2,22,2,0,17002.972
2023-02-23,2023,2,23,3,0,16900.408
2023-02-24,2023,2,24,4,0,14552.688
2023-02-25,2023,2,25,5,1,11753.994
2023-02-26,2023,2,26,6,1,17576.602
2023-02-27,2023,2,27,0,0,19342.748
2023-02-28,2023,2,28,1,0,18771.58
2023-03-01,2023,3,1,2,0,18038.352
2023-03-02,2023,3,2,3,0,18348.878
2023-03-03,2023,3,3,4,0,16142.128
2023-03-04,2023,3,4,5,1,7249.446
2023-03-05,2023,3,5,6,1,12798.42
2023-03-06,2023,3,6,0,0,14485.454
2023-03-07,2023,3,7,1,0,13848.988
2023-03-08,2023,3,8,2,0,14807.996
2023-03-09,2023,3,9,3,0,13373.144
2023-03-10,2023,3,10,4,0,13733.542
2023-03-11,2023,3,11,5,1,9178.462
2023-03-12,2023,3,12,6,1,11980.946
2023-03-13,2023,3,13,0,0,12729.47
2023-03-14,2023,3,14,1,0,12624.918
2023-03-15,2023,3,15,2,0,12310.226
2023-03-16,2023,3,16,3,0,10899.512
2023-03-17,2023,3,17,4,0,10233.31
2023-03-18,2023,3,18,5,1,7188.114
2023-03-19,2023,3,19,6,1,9784.814
2023-03-20,2023,3,20,0,0,10453.722
2023-03-21,2023,3,21,1,0,10473.8
2023-03-22,2023,3,22,2,0,9875.704
2023-03-23,2023,3,23,3,0,9525.55
2023-03-24,2023,3,24,4,0,8587.476
2023-03-25,2023,3,25,5,1,8078.886
2023-03-26,2023,3,26,6,1,8536.11
2023-03-27,2023,3,27,0,0,7873.962
2023-03-28,2023,3,28,1,0,7521.578
2023-03-29,2023,3,29,2,0,5835.808
2023-03-30,2023,3,30,3,0,5921.846
2023-03-31,2023,3,31,4,0,5840.072
2023-04-01,2023,4,1,5,1,4298.504
2023-04-02,2023,4,2,6,1,5885.422
2023-04-03,2023,4,3,0,0,7074.024
2023-04-04,2023,4,4,1,0,6747.08
2023-04-05,2023,4,5,2,0,6395.606
2023-04-06,2023,4,6,3,0,5680.806
2023-04-07,2023,4,7,4,0,4944.708
2023-04-08,2023,4,8,5,1,4486.242
2023-04-09,2023,4,9,6,1,7064.32
2023-04-10,2023,4,10,0,0,7593.85
2023-04-11,2023,4,11,1,0,7690.592
2023-04-12,2023,4,12,2,0,7498.094
2023-04-13,2023,4,13,3,0,6984.652
2023-04-14,2023,4,14,4,0,6552.638
2023-04-15,2023,4,15,5,1,3550.338
